ID,Dir,DNA1,DNA2,DNA3,RNA1,RNA2,RNA3
EKNGAT0053,CW,1054,1165,1782,1458,673,1052
EKNGAT0060,CCW,303,327,507,141,85,105
EKNGAT0060,CW,442,450,738,497,224,373
EKNGAT0062,CCW,339,365,531,226,128,165
EKNGAT0062,CW,752,759,1165,921,463,747
EKNGAT0063,CCW,709,737,1159,290,154,220
EKNGAT0063,CW,764,867,1319,272,76,116
EKNGAT0064,CCW,609,741,1097,454,244,375
EKNGAT0064,CW,1441,1593,2390,1556,749,1020
EKNGAT0067,CCW,543,661,896,325,196,257
EKNGAT0067,CW,531,641,968,951,499,699
EKNGAT0069,CCW,878,936,1442,369,229,310
EKNGAT0069,CW,976,1063,1624,879,456,716
EKNGAT0075,CCW,853,790,941,381,152,256
EKNGAT0075,CW,701,777,1030,935,467,676
EKNGAT0080,CCW,1025,1068,1587,192,91,98
EKNGAT0080,CW,1248,1445,2044,1738,981,1316
EKNGAT0088,CCW,656,639,1009,409,234,256
EKNGAT0088,CW,1280,1363,2162,1049,594,863
EKNGAT0094,CCW,549,599,1035,260,130,146
EKNGAT0094,CW,698,741,1137,591,293,397
EKNGAT0097,CCW,128,130,195,100,45,75
EKNGAT0097,CW,283,312,449,195,74,154
EKNGAT0101,CCW,528,604,956,178,77,111
EKNGAT0101,CW,1042,1117,1825,727,389,417
EKNGAT0105,CCW,344,390,577,321,146,245
EKNGAT0105,CW,594,654,1039,434,212,291
EKNGAT0116,CCW,288,301,483,228,92,163
EKNGAT0116,CW,544,603,993,401,216,287
EKNGAT0119,CCW,138,145,189,101,26,70
EKNGAT0119,CW,312,317,391,262,129,202
EKNGAT0124,CCW,434,501,761,357,193,234
EKNGAT0124,CW,507,582,847,455,255,323
EKNGAT0127,CCW,838,889,1480,215,132,208
EKNGAT0127,CW,1141,1161,1921,846,423,656
EKNGAT0128,CCW,29,34,47,16,8,11
EKNGAT0128,CW,9,7,7,2,0,0
EKNGAT0139,CCW,687,795,1203,34,34,25
EKNGAT0139,CW,825,867,1310,796,416,646
EKNGAT0140,CCW,856,863,1499,494,253,325
EKNGAT0140,CW,1117,1171,1784,1394,671,1129
EKNGAT0145,CCW,564,583,978,312,145,203
EKNGAT0145,CW,791,903,1391,710,432,565
EKNGAT0149,CCW,484,554,816,354,158,228
EKNGAT0149,CW,704,790,1199,707,299,526
EKNGUT0002,CCW,877,949,1399,258,124,193
EKNGUT0002,CW,781,830,1180,646,319,491
EKNGUT0007,CCW,872,952,1621,430,235,335
EKNGUT0007,CW,829,878,1412,1298,682,926
EKNGUT0008,CCW,453,538,788,335,126,245
EKNGUT0008,CW,1120,1271,1894,1843,986,1334
EKNGUT0012,CCW,1088,1181,1645,149,61,113
EKNGUT0012,CW,723,746,1090,278,92,157
EKNGUT0013,CCW,979,1166,1765,984,579,738
EKNGUT0013,CW,1071,1119,1704,1568,898,1328
EKNGUT0014,CCW,691,741,1164,135,70,103
EKNGUT0014,CW,592,654,949,691,385,531
EKNGUT0018,CCW,270,220,357,112,75,92
