ID,Dir,DNA1,DNA2,DNA3,RNA1,RNA2,RNA3
EKUUUT0014,CCW,626,759,1142,247,125,174
EKUUUT0014,CW,875,925,1315,2009,1144,1444
EKUUUT0015,CCW,1086,1303,1858,1009,576,821
EKUUUT0015,CW,807,867,1256,2554,1403,2044
EKUUUT0017,CCW,711,739,1073,384,241,288
EKUUUT0017,CW,539,596,802,845,422,625
EKUUUT0021,CCW,71,80,86,34,33,40
EKUUUT0021,CW,128,145,193,631,377,611
EKUUUT0029,CCW,543,538,837,495,347,436
EKUUUT0029,CW,496,503,797,696,357,537
EKUUUT0032,CCW,857,933,1425,375,194,276
EKUUUT0032,CW,678,682,1002,678,377,388
EKUUUT0035,CCW,758,845,1225,1448,761,1112
EKUUUT0035,CW,589,734,1095,3327,1707,2599
EKUUUT0043,CCW,19,24,17,202,339,230
EKUUUT0043,CW,652,637,984,9477,5249,7859
EKUUUT0048,CCW,557,564,872,355,158,237
EKUUUT0048,CW,678,742,1057,964,498,740
EKUUUT0057,CCW,925,994,1637,406,195,298
EKUUUT0057,CW,1032,1119,1799,642,362,422
EKUUUT0063,CCW,446,461,692,617,341,398
EKUUUT0063,CW,648,744,1037,1923,994,1395
EKUUUT0102,CCW,617,605,944,1162,545,921
EKUUUT0102,CW,781,843,1167,1658,869,1283
EKUUUT0106,CCW,1170,1403,2083,408,233,310
EKUUUT0106,CW,1108,1157,1772,643,358,405
EKUUUT0113,CCW,556,597,911,589,330,446
EKUUUT0113,CW,735,792,1308,420,359,448
EKUUUT0116,CCW,877,979,1460,236,122,228
EKUUUT0116,CW,922,1039,1574,322,161,221
EKUUUT0118,CCW,692,787,1257,334,126,172
EKUUUT0118,CW,738,751,1135,1985,979,1487
EKUUUT0122,CCW,429,456,723,1920,1105,1528
EKUUUT0122,CW,676,707,987,5617,3138,4953
EKUUUT0138,CCW,962,1047,1584,468,210,305
EKUUUT0138,CW,929,959,1536,1094,569,711
EKUUUT0140,CCW,458,514,739,100,89,127
EKUUUT0140,CW,756,789,1309,402,163,225
EKUUUT0142,CCW,1250,1295,1938,985,503,710
EKUUUT0142,CW,1205,1368,2057,853,388,568
EKUUUT0148,CCW,548,565,843,53,48,54
EKUUUT0148,CW,880,960,1566,1105,431,701
EKUUUT0155,CCW,1048,1140,1801,273,124,254
EKUUUT0155,CW,774,800,1206,1243,642,919
EKUUUT0157,CCW,862,1000,1487,278,131,162
EKUUUT0157,CW,878,967,1490,1499,693,1038
HS001,CCW,1496,1609,2675,2650,2171,3958
HS001,CW,1706,1678,2652,11466,8150,15781
HS002,CCW,1039,1030,1521,380,226,296
HS002,CW,1327,1353,2025,1648,897,1315
HS005,CCW,618,645,823,638,477,773
HS005,CW,749,734,940,3234,2149,3131
HS006,CCW,638,614,786,213,113,171
HS006,CW,822,850,1028,419,214,380
HS018,CCW,600,591,856,636,398,541
HS018,CW,761,761,1032,1558,825,1306
KNGAE0001,CCW,2010,2082,3636,208,160,165
KNGAE0001,CW,2759,2799,4819,2071,1121,1599
KNGAE0002,CCW,2276,2449,4143,396,310,330
KNGAE0002,CW,2616,2531,4681,2007,1081,1470
KNGAE0003,CCW,1876,1913,3433,672,427,566
KNGAE0003,CW,1136,1099,1976,403,232,285
KNGAE0004,CCW,1889,1912,3549,264,114,164
KNGAE0004,CW,1304,1419,2394,82,50,98
KNGAE0005,CCW,1639,1811,3095,388,273,296
KNGAE0005,CW,1250,1278,2257,1483,739,1159
KNGAE0006,CCW,2336,2326,4181,1345,768,1019
KNGAE0006,CW,2183,2287,4186,2160,1424,1894
KNGAE0007,CCW,1226,1289,2121,339,176,245
KNGAE0007,CW,824,906,1498,112,56,79
KNGAE0008,CCW,1902,1897,3656,124,90,129
KNGAE0008,CW,2864,2960,5581,1497,911,1262
KNGAE0009,CCW,1664,1817,3300,174,88,120
KNGAE0009,CW,1255,1328,2348,1049,680,770
KNGAE0010,CCW,1536,1588,2698,302,181,259
KNGAE0010,CW,1863,2022,3484,1683,921,1250
KNGAE0011,CCW,1907,2009,3442,663,500,769
KNGAE0011,CW,1656,1674,3008,1077,660,819
KNGAE0012,CCW,1633,1714,2898,423,234,289
KNGAE0012,CW,1761,1980,3415,1281,719,880
KNGAE0013,CCW,1664,1581,3173,481,311,338
KNGAE0013,CW,1852,1927,3679,931,603,649
KNGAE0014,CCW,3069,3201,6011,670,407,585
KNGAE0014,CW,2514,2556,4899,1503,958,1045
KNGAE0015,CCW,1591,1675,2975,473,286,337
KNGAE0015,CW,1557,1673,2790,1360,695,948
KNGAE0016,CCW,1976,2060,3618,37,53,50
KNGAE0016,CW,1433,1458,2603,268,129,115
KNGAE0017,CCW,2609,2675,4640,167,106,168
KNGAE0017,CW,2206,2143,4131,396,202,319
KNGAE0019,CCW,1965,2120,3936,54,33,25
KNGAE0019,CW,2302,2375,4394,404,201,221
KNGAE0020,CCW,2151,2267,4084,85,65,119
KNGAE0020,CW,1890,1894,3421,49,28,38
KNGAE0021,CCW,649,628,1099,256,156,205
KNGAE0021,CW,2386,2376,4214,1403,808,1193
KNGAE0022,CCW,0,0,0,0,0,0
KNGAE0022,CW,0,0,0,1,0,1
KNGAE0023,CCW,1844,1872,3367,231,86,151
KNGAE0023,CW,2281,2376,4330,1398,869,842
KNGAE0024,CCW,1352,1459,2345,570,324,456
KNGAE0024,CW,738,765,1280,658,339,446
KNGAE0025,CCW,2546,2462,4175,80,92,50
KNGAE0025,CW,3027,3026,5452,3117,1850,2541
KNGAE0027,CCW,1533,1634,2980,1005,597,842
KNGAE0027,CW,2249,2203,3987,1460,878,1152
KNGAE0028,CCW,1167,1231,2174,710,518,546
KNGAE0028,CW,1489,1576,2721,661,416,573
KNGAE0029,CCW,2359,2351,4259,381,232,324
KNGAE0029,CW,2175,2223,3790,289,227,207
KNGAE0030,CCW,2253,2411,4091,840,644,833
KNGAE0030,CW,981,983,1855,885,541,776
KNGAE0031,CCW,2301,2300,4179,517,343,458
KNGAE0031,CW,956,984,1769,1377,740,1064
KNGAE0033,CCW,0,0,0,0,0,0
KNGAE0033,CW,0,0,0,0,0,0
KNGAE0034,CCW,2339,2340,4266,76,40,40
KNGAE0034,CW,1879,1860,3180,1142,651,780
KNGAE0035,CCW,0,0,0,0,0,0
KNGAE0035,CW,0,0,0,0,0,0
KNGAE0036,CCW,1231,1168,2169,312,189,224
KNGAE0036,CW,1506,1567,2784,1578,869,1034
KNGAE0037,CCW,2556,2643,4659,1557,1067,1350
KNGAE0037,CW,1503,1530,2823,523,365,493
KNGAE0038,CCW,0,0,0,0,0,0
KNGAE0038,CW,0,0,0,0,0,0
KNGAE0039,CCW,2209,2256,3847,634,444,444
KNGAE0039,CW,2434,2494,4573,1000,561,658
KNGAE0040,CCW,1668,1885,3213,888,597,784
KNGAE0040,CW,745,816,1366,809,528,573
KNGAE0042,CCW,0,0,0,0,0,0
KNGAE0042,CW,0,0,0,0,0,0
KNGAE0043,CCW,1155,1213,2053,767,435,624
KNGAE0043,CW,1049,1021,1714,772,417,524
KNGAE0045,CCW,2233,2333,4199,1843,1074,1276
KNGAE0045,CW,1325,1321,2473,964,619,580
KNGAE0046,CCW,1139,1313,2126,201,80,99
KNGAE0046,CW,925,995,1721,1408,716,890
KNGAE0047,CCW,1436,1518,2651,419,256,326
KNGAE0047,CW,1219,1379,2381,789,408,383
KNGAE0048,CCW,1771,1795,3230,238,150,161
KNGAE0048,CW,2666,2374,4620,272,160,251
KNGAE0049,CCW,2835,3003,5247,307,193,243
KNGAE0049,CW,3252,3512,6217,1954,1084,1370
KNGAE0050,CCW,2355,2418,4259,573,381,394
KNGAE0050,CW,2143,2295,3906,2144,1195,1471
KNGAE0051,CCW,1946,1965,3696,181,67,110
KNGAE0051,CW,2253,2244,3984,2441,1366,1571
KNGAE0052,CCW,2090,2129,3664,965,551,891
KNGAE0052,CW,2690,2622,4832,142,78,96
KNGAE0053,CCW,0,0,0,0,0,0
KNGAE0053,CW,0,0,0,0,0,0
KNGAE0055,CCW,1856,1868,3543,454,303,352
KNGAE0055,CW,1978,2072,3674,1644,1090,1127
KNGAE0056,CCW,2147,2145,3838,426,286,319
KNGAE0056,CW,1988,2023,3557,1833,1082,1358
KNGAE0057,CCW,1904,2072,3647,94,54,61
KNGAE0057,CW,1525,1651,2868,322,204,176
KNGAE0061,CCW,1921,2106,3886,39,38,34
KNGAE0061,CW,2589,2787,4703,58,25,41
KNGAE0064,CCW,1368,1435,2498,146,73,107
KNGAE0064,CW,1356,1514,2476,1260,462,682
KNGAE0065,CCW,1944,2039,3617,67,43,41
KNGAE0065,CW,1988,2186,3715,2400,1429,2113
KNGAE0068,CCW,1839,1807,3341,445,311,345
KNGAE0068,CW,1917,1980,3516,988,541,534
KNGAE0069,CCW,2029,2007,3763,363,206,283
KNGAE0069,CW,2012,2119,3521,1939,1096,1469
KNGAE0071,CCW,1781,1923,3460,854,543,751
KNGAE0071,CW,2027,2055,3871,415,281,272
KNGAE0072,CCW,1489,1473,2649,347,237,302
KNGAE0072,CW,2123,2076,4013,1464,994,1066
KNGAE0075,CCW,1223,1369,2230,506,247,316
KNGAE0075,CW,1949,2047,3458,1998,1068,1472
KNGAE0076,CCW,2069,1968,3730,107,65,96
KNGAE0076,CW,1784,1833,3199,1477,957,1189
KNGAE0077,CCW,1886,1907,3836,352,239,222
KNGAE0077,CW,1870,2067,3731,2319,1343,1699
KNGAE0080,CCW,1338,1414,2585,121,106,89
KNGAE0080,CW,1246,1267,2220,1239,793,947
KNGAE0085,CCW,1,0,0,0,0,0
KNGAE0085,CW,0,0,0,0,0,0
KNGAE0087,CCW,0,0,0,0,0,0
KNGAE0087,CW,0,0,0,0,0,0
KNGAE0089,CCW,1508,1589,2941,316,168,217
KNGAE0089,CW,536,580,1036,270,109,226
KNGAE0090,CCW,2028,2085,3649,93,33,55
KNGAE0090,CW,1250,1425,2550,151,116,108
KNGAE0091,CCW,1210,1390,2477,392,208,278
KNGAE0091,CW,1343,1328,2288,1096,645,660
KNGAE0093,CCW,1786,1879,3341,705,404,563
KNGAE0093,CW,1472,1599,2730,2063,1229,1444
KNGAE0095,CCW,0,0,0,0,0,0
KNGAE0095,CW,0,0,0,0,0,0
KNGAE0097,CCW,1826,1782,3284,59,43,90
KNGAE0097,CW,1657,1675,3047,27,15,27
KNGAE0099,CCW,2245,2237,3974,122,69,88
KNGAE0099,CW,1571,1580,2971,24,24,22
KNGAE0100,CCW,1766,1846,3486,1278,609,880
KNGAE0100,CW,1776,2001,3830,857,438,604
KNGAE0105,CCW,0,0,0,0,0,0
KNGAE0105,CW,0,0,0,0,0,0
KNGAE0109,CCW,2557,2620,4650,648,455,513
KNGAE0109,CW,1763,1843,3320,1470,913,1081
KNGAE0110,CCW,1943,2114,3629,499,276,378
KNGAE0110,CW,1928,1995,3775,1305,832,930
KNGAE0111,CCW,1912,1965,3537,158,51,98
KNGAE0111,CW,1660,1832,3149,1581,929,1093
KNGAE0114,CCW,2137,2314,3977,449,328,319
KNGAE0114,CW,1869,1929,3301,1831,1086,1218
KNGAE0115B,CCW,0,0,0,0,0,0
KNGAE0115B,CW,2121,2142,3694,2252,1340,1777
KNGAE0115C,CCW,74,62,74,10,6,6
KNGAE0115,CCW,1872,1906,3296,1845,956,1246
KNGAE0115C,CW,2128,2252,3939,2223,1404,1593
KNGAE0115,CW,1659,1791,3070,2937,1569,2111
KNGAE0118,CCW,2437,2686,4793,800,456,552
KNGAE0118,CW,698,796,1477,596,329,404
KNGAE0120,CCW,0,0,0,0,0,0
KNGAE0120,CW,0,0,0,0,0,0
KNGAE0122,CCW,1344,1434,2543,134,65,96
KNGAE0122,CW,1094,1163,2000,1740,990,1293
KNGAE0124,CCW,1515,1614,2783,1043,570,867
KNGAE0124,CW,1515,1675,2802,1472,808,1196
KNGAE0127,CCW,2037,2190,3934,579,309,396
KNGAE0127,CW,1272,1360,2313,813,505,597
KNGAE0128,CCW,782,810,1454,555,286,309
KNGAE0128,CW,1000,1053,1810,1102,599,770
KNGAE0130,CCW,19,12,14,1,0,0
KNGAE0130,CW,10,5,6,0,2,1
KNGAE0132,CCW,1765,1813,3065,752,460,602
KNGAE0132,CW,1741,1831,3206,678,274,296
KNGAE0133,CCW,2338,2354,4160,620,405,438
KNGAE0133,CW,2818,2880,5133,2569,1434,1879
KNGAE0136,CCW,2072,2109,3927,331,200,208
KNGAE0136,CW,1827,1841,3423,1481,820,1170
KNGAE0137,CCW,1235,1460,2501,91,87,59
KNGAE0137,CW,2243,2324,4190,1762,1073,1093
KNGAE0141,CCW,1662,1796,3301,319,244,198
KNGAE0141,CW,1704,1828,3306,499,296,354
KNGAE0142,CCW,2998,3040,5597,129,46,77
KNGAE0142,CW,2806,2920,4997,753,483,335
KNGAE0143,CCW,1806,2098,3417,383,180,275
KNGAE0143,CW,2742,2886,5144,958,487,605
KNGAE0145,CCW,0,0,0,0,0,0
KNGAE0145,CW,0,0,0,0,0,0
KNGAE0146,CCW,2383,2369,4308,129,77,50
KNGAE0146,CW,2618,2617,4547,1043,600,601
KNGAE0147,CCW,0,0,0,0,0,0
KNGAE0147,CW,1,0,0,0,0,0
KNGAE0151,CCW,0,0,0,0,0,0
KNGAE0151,CW,0,0,0,0,0,0
KNGAE0153,CCW,2279,2179,4170,20,7,8
KNGAE0153,CW,2359,2259,4110,24,12,5
KNGAE0154,CCW,1622,1647,3141,144,70,66
KNGAE0154,CW,3325,3358,5967,4098,2597,2891
KNGAE0155,CCW,1531,1672,2996,151,87,106
KNGAE0155,CW,1545,1726,3210,470,256,282
KNGAE0156,CCW,1668,1670,3163,298,188,210
KNGAE0156,CW,1553,1719,2926,1114,661,760
KNGAT0001,CCW,2108,2153,3728,384,244,303
KNGAT0001,CW,2326,2393,4360,973,612,643
KNGAT0002,CCW,2423,2529,4551,508,369,447
KNGAT0002,CW,2130,2072,3886,1958,1209,1538
KNGAT0003,CCW,0,0,0,0,0,0
KNGAT0003,CW,0,0,0,0,0,0
KNGAT0004,CCW,1986,1991,3454,84,52,51
KNGAT0004,CW,2184,2280,4103,1543,883,1067
KNGAT0005,CCW,15,12,21,25,41,25
KNGAT0005,CW,0,0,0,0,0,0
KNGAT0007,CCW,1769,1773,3379,140,69,104
KNGAT0007,CW,2120,2129,3964,714,421,417
KNGAT0009,CCW,3179,3320,5723,549,366,391
KNGAT0009,CW,2342,2470,4375,847,523,689
KNGAT0011,CCW,2014,2123,4013,413,215,275
KNGAT0011,CW,1815,1903,3669,1629,897,1129
KNGAT0012,CCW,1516,1725,3151,193,110,141
KNGAT0012,CW,1874,1938,3711,654,334,357
KNGAT0014,CCW,0,0,0,0,0,0
KNGAT0014,CW,0,0,0,0,0,0
KNGAT0015,CCW,2701,2744,5109,1042,645,886
KNGAT0015,CW,2162,2153,4214,1824,1190,1163
KNGAT0016,CCW,2107,2056,3778,29,23,16
KNGAT0016,CW,2755,2774,4963,492,309,311
KNGAT0017,CCW,0,0,0,0,0,0
KNGAT0017,CW,0,0,0,0,0,0
KNGAT0018,CCW,1430,1532,2329,268,180,195
KNGAT0018,CW,1951,1959,3524,1377,794,886
KNGAT0019,CCW,2054,2021,3758,189,125,126
KNGAT0019,CW,1742,1777,3372,336,239,233
KNGAT0020,CCW,2907,2962,5439,666,390,475
KNGAT0020,CW,1877,2027,3765,1266,739,921
KNGAT0021,CCW,2588,2585,4922,230,79,156
KNGAT0021,CW,2653,2567,4622,2865,1708,2138
KNGAT0022,CCW,0,0,0,0,0,0
KNGAT0022,CW,0,0,0,0,0,0
KNGAT0024,CCW,0,0,0,0,0,0
KNGAT0024,CW,0,0,0,0,0,0
KNGAT0025,CCW,2278,2443,4684,824,476,516
KNGAT0025,CW,2648,2734,5037,2344,1255,1420
KNGAT0026,CCW,1282,1263,2401,590,404,367
KNGAT0026,CW,1770,1892,3443,1856,1160,1414
KNGAT0027,CCW,2309,2438,4738,299,184,206
KNGAT0027,CW,1749,1806,3261,1168,783,803
KNGAT0029,CCW,2044,1988,3801,19,21,19
KNGAT0029,CW,2458,2527,4512,29,24,25
KNGAT0030,CCW,1896,1933,3610,48,9,15
KNGAT0030,CW,1721,1744,3202,1708,812,1334
KNGAT0032,CCW,1785,1787,3268,231,140,203
KNGAT0032,CW,2194,2311,4183,2655,1607,1992
KNGAT0033,CCW,1021,1032,2049,347,194,262
KNGAT0033,CW,26,24,32,1,0,0
KNGAT0034,CCW,2474,2591,4585,37,68,109
KNGAT0034,CW,2604,2775,4776,798,496,641
KNGAT0035,CCW,2261,2361,4211,287,231,223
KNGAT0035,CW,2561,2650,4942,1946,1249,1387
KNGAT0036,CCW,2627,2618,4686,30,92,88
KNGAT0036,CW,1194,1267,2145,676,349,513
KNGAT0037,CCW,1774,1802,3391,365,230,236
KNGAT0037,CW,1496,1607,2708,1972,1057,1239
KNGAT0039,CCW,2702,2787,5027,537,362,440
KNGAT0039,CW,2088,2067,3780,1770,1095,1460
KNGAT0040,CCW,2683,2769,4874,498,327,400
KNGAT0040,CW,3370,3252,6194,1878,1010,1183
KNGAT0041,CCW,2569,2721,4675,137,55,71
KNGAT0041,CW,2112,2217,3999,724,424,660
KNGAT0042,CCW,2357,2370,4048,444,279,280
KNGAT0042,CW,2962,3022,5190,2502,1447,2132
KNGAT0043,CCW,1890,1917,3673,408,230,359
KNGAT0043,CW,1765,1702,3302,808,466,490
KNGAT0044,CCW,1807,1985,3717,170,103,96
KNGAT0044,CW,1922,2077,3647,1628,943,1208
KNGAT0045,CCW,3610,3572,6632,234,163,144
KNGAT0045,CW,2690,2736,5005,494,223,335
KNGAT0046,CCW,2238,2330,4471,29,6,17
KNGAT0046,CW,1360,1424,2573,1048,500,712
KNGAT0047,CCW,1590,1707,3285,351,199,250
KNGAT0047,CW,1477,1640,2831,1225,698,882
KNGAT0049,CCW,1896,2089,3487,358,169,324
KNGAT0049,CW,1541,1619,2867,269,167,193
KNGAT0050,CCW,0,0,0,0,0,0
KNGAT0050,CW,0,0,0,0,0,0
KNGAT0051,CCW,1306,1371,2562,232,87,170
KNGAT0051,CW,739,795,1538,611,429,503
KNGAT0052,CCW,2894,2907,5176,1010,672,712
KNGAT0052,CW,2667,2821,4895,1528,878,829
KNGAT0053,CCW,2907,3080,5631,934,517,497
KNGAT0053,CW,1479,1505,2840,1417,805,1021
KNGAT0055,CCW,0,0,0,0,0,0
KNGAT0055,CW,0,0,0,0,0,0
KNGAT0056,CCW,3047,3245,5978,831,507,477
KNGAT0056,CW,2091,2218,4072,1887,1029,1214
KNGAT0057,CCW,2415,2326,4265,492,276,376
KNGAT0057,CW,2135,2209,3902,1107,674,942
KNGAT0060,CCW,1523,1492,2866,413,316,334
KNGAT0060,CW,2122,2216,4038,1885,1192,1300
KNGAT0062,CCW,1845,1744,3080,738,525,553
KNGAT0062,CW,1646,1702,3028,1062,530,648
KNGAT0063,CCW,2287,2592,4741,841,454,675
KNGAT0063,CW,2164,2403,4303,1872,1094,1192
KNGAT0064,CCW,1804,1815,3393,238,183,176
KNGAT0064,CW,1342,1339,2450,952,484,609
KNGAT0067,CCW,1160,1210,2295,741,384,547
KNGAT0067,CW,1259,1311,2564,2264,1146,1566
KNGAT0068,CCW,1440,1481,2714,820,445,605
KNGAT0068,CW,3032,2929,5479,2810,1772,2114
KNGAT0069,CCW,1832,1860,3449,354,252,354
KNGAT0069,CW,2309,2327,4388,1810,1178,1326
KNGAT0071,CCW,0,0,0,0,0,0
KNGAT0071,CW,0,0,0,0,0,0
KNGAT0072,CCW,0,0,0,0,0,0
KNGAT0072,CW,0,0,0,0,0,0
KNGAT0073,CCW,3550,3750,6926,653,443,487
KNGAT0073,CW,2993,3114,6046,2209,1416,1628
KNGAT0075,CCW,1203,1372,2293,433,187,298
KNGAT0075,CW,1334,1511,2473,933,557,580
KNGAT0079,CCW,0,0,0,0,0,0
KNGAT0079,CW,0,0,0,0,0,0
KNGAT0080,CCW,2462,2682,4867,577,346,400
KNGAT0080,CW,1826,1989,3359,1642,1144,1345
KNGAT0085,CCW,371,396,677,237,119,157
KNGAT0085,CW,559,632,1011,742,339,501
KNGAT0088,CCW,1657,1729,3326,189,118,106
KNGAT0088,CW,1950,2064,3628,1717,1059,1329
KNGAT0092,CCW,2535,2552,5000,611,382,453
KNGAT0092,CW,2540,2713,5165,2781,1758,2026
KNGAT0093,CCW,989,1081,1890,423,235,283
KNGAT0093,CW,1085,1224,2158,1047,582,766
KNGAT0094,CCW,2426,2431,4561,719,475,644
KNGAT0094,CW,1831,2017,3687,1287,725,1013
KNGAT0096,CCW,1998,2107,3765,815,489,727
KNGAT0096,CW,2608,2668,4915,2903,1617,2275
KNGAT0097,CCW,1345,1512,2930,409,200,268
KNGAT0097,CW,1704,1831,3647,921,490,599
KNGAT0098,CCW,2795,2917,5544,282,195,235
KNGAT0098,CW,3081,3157,5971,391,222,249
KNGAT0100,CCW,2175,2263,4098,1147,700,729
KNGAT0100,CW,1448,1507,2694,1389,742,934
KNGAT0101,CCW,3802,3733,6881,779,484,649
KNGAT0101,CW,4142,4059,7685,2993,1928,2128
KNGAT0105,CCW,1687,1704,3284,187,103,122
KNGAT0105,CW,2344,2472,4615,530,387,467
KNGAT0106,CCW,0,0,0,0,0,0
KNGAT0106,CW,0,0,0,0,0,0
KNGAT0107,CCW,1984,1963,3825,1320,827,860
KNGAT0107,CW,1797,1742,3376,1706,903,1225
KNGAT0109,CCW,1662,1693,3061,211,136,195
KNGAT0109,CW,658,672,1222,377,194,294
KNGAT0110,CCW,3286,3324,6000,520,333,417
KNGAT0110,CW,2144,2257,3993,1926,1351,1360
KNGAT0111,CCW,0,0,0,0,0,0
KNGAT0111,CW,0,0,0,0,0,0
KNGAT0113,CCW,1122,1129,2258,486,300,351
KNGAT0113,CW,1261,1246,2259,1301,762,945
KNGAT0114,CCW,2186,2173,3889,271,192,198
KNGAT0114,CW,1947,1924,3636,967,538,538
KNGAT0116,CCW,373,430,732,35,25,39
KNGAT0116,CW,3134,3364,6059,826,665,617
KNGAT0119,CCW,369,375,653,218,130,156
KNGAT0119,CW,131,128,198,86,39,67
KNGAT0120,CCW,1543,1624,3122,345,228,204
KNGAT0120,CW,2310,2306,4579,1606,1044,1009
KNGAT0122,CCW,1331,1485,2360,1130,653,753
KNGAT0122,CW,1287,1331,2299,1329,741,1055
KNGAT0124,CCW,2044,2017,3933,247,138,160
KNGAT0124,CW,1620,1662,3157,814,439,452
KNGAT0125,CCW,0,0,0,0,0,0
KNGAT0125,CW,0,0,0,0,0,0
KNGAT0127,CCW,1895,1881,3557,508,344,426
KNGAT0127,CW,2514,2575,4956,2754,1643,2139
KNGAT0128,CCW,2483,2478,4533,271,171,187
KNGAT0128,CW,1999,2010,3726,1890,1021,1424
KNGAT0129,CCW,1061,1215,2076,490,307,310
KNGAT0129,CW,1641,1825,3168,1754,1018,1323
KNGAT0132,CCW,2604,2639,5437,854,569,603
KNGAT0132,CW,2508,2752,5078,1709,1009,997
KNGAT0133,CCW,2704,2584,4880,596,462,418
KNGAT0133,CW,3494,3345,6472,3385,2163,2644
KNGAT0138,CCW,1298,1382,2533,571,306,366
KNGAT0138,CW,1155,1231,2260,1157,613,832
KNGAT0139,CCW,2111,2080,3975,508,301,372
KNGAT0139,CW,2068,2224,4200,881,466,479
KNGAT0140,CCW,2522,2703,5274,630,367,411
KNGAT0140,CW,1393,1516,2789,879,441,525
KNGAT0144,CCW,2744,2637,4944,524,258,363
KNGAT0144,CW,3407,3315,6138,2714,1743,2148
KNGAT0145,CCW,1914,2038,3863,397,245,210
KNGAT0145,CW,2052,2012,3835,1689,1091,1138
KNGAT0146,CCW,2922,3015,5632,664,477,434
KNGAT0146,CW,1896,1969,3840,2058,1338,1650
KNGAT0148,CCW,0,0,0,0,0,0
KNGAT0148,CW,0,0,0,0,0,0
KNGAT0149,CCW,1583,1533,2936,215,135,126
KNGAT0149,CW,2922,2849,5439,1812,1074,1161
KNGAT0150,CCW,2355,2441,4476,344,206,232
KNGAT0150,CW,2587,2547,4520,2583,1703,2089
KNGAT0154,CCW,948,1094,1942,327,223,263
KNGAT0154,CW,393,427,784,231,145,181
KNGAT0156,CCW,1540,1583,2936,567,356,418
KNGAT0156,CW,1602,1812,3493,1565,898,1175
KNGUT0002,CCW,1889,1865,3360,520,304,306
KNGUT0002,CW,1481,1490,2591,697,417,545
KNGUT0003,CCW,3477,3440,6215,1468,850,1083
KNGUT0003,CW,1878,1920,3463,415,269,261
KNGUT0004,CCW,0,0,0,0,0,0
KNGUT0004,CW,0,0,0,0,0,0
KNGUT0005,CCW,2043,1973,3754,246,164,172
KNGUT0005,CW,1631,1717,2966,156,128,131
KNGUT0006,CCW,0,0,1,0,0,0
KNGUT0006,CW,0,0,0,0,0,0
KNGUT0007,CCW,2784,2978,5264,1054,612,739
KNGUT0007,CW,1535,1684,2941,1643,989,1121
KNGUT0008,CCW,3928,3985,7527,372,176,227
KNGUT0008,CW,3583,3779,6987,371,224,277
KNGUT0009,CCW,2292,2339,4245,783,504,586
KNGUT0009,CW,2430,2575,4557,992,595,609
KNGUT0010,CCW,0,0,0,0,0,0
KNGUT0010,CW,0,0,0,0,0,0
KNGUT0011,CCW,3015,2997,4996,806,528,707
KNGUT0011,CW,3411,3256,5970,1672,1103,1377
KNGUT0012,CCW,1286,1419,2454,412,244,352
KNGUT0012,CW,877,957,1641,201,89,122
KNGUT0013,CCW,2144,2246,4126,634,374,477
KNGUT0013,CW,1914,1917,3603,830,375,440
KNGUT0014,CCW,2294,2318,4163,297,119,231
KNGUT0014,CW,1837,1970,3629,685,247,273
KNGUT0015,CCW,1974,1901,3380,114,63,79
KNGUT0015,CW,1568,1577,2843,1070,717,925
KNGUT0016,CCW,2339,2313,4180,203,119,138
KNGUT0016,CW,775,752,1379,581,341,422
KNGUT0017,CCW,2766,2904,4832,9,7,11
KNGUT0017,CW,2609,2651,4864,75,41,36
KNGUT0018,CCW,1675,1779,3287,360,251,238
KNGUT0018,CW,2694,2803,5017,2513,1617,1757
KNGUT0019,CCW,2623,2759,4782,2896,1643,1989
KNGUT0019,CW,2472,2657,4596,2980,1682,2166
KNGUT0020,CCW,2034,2296,4086,380,224,266
KNGUT0020,CW,3279,3411,6168,494,275,297
KNGUT0021,CCW,0,0,0,0,0,0
KNGUT0021,CW,0,0,0,0,0,0
KNGUT0023,CCW,2511,2543,4553,82,49,54
KNGUT0023,CW,2457,2559,4658,2308,1411,1921
KNGUT0024,CCW,1427,1541,2861,206,104,90
KNGUT0024,CW,574,649,1115,486,308,341
KNGUT0025,CCW,3072,3082,5699,1409,853,1127
KNGUT0025,CW,2371,2266,4365,1496,893,1123
KNGUT0026,CCW,0,0,0,0,0,0
KNGUT0026,CW,0,0,0,0,0,0
KNGUT0027,CCW,2587,2528,4767,261,147,157
KNGUT0027,CW,3166,3033,5838,2845,1879,2290
KNGUT0028,CCW,1292,1331,2133,377,204,260
KNGUT0028,CW,919,916,1613,712,352,498
KNGUT0029,CCW,2289,2300,4141,41,29,43
KNGUT0029,CW,1624,1621,2987,113,76,66
KNGUT0030,CCW,2137,2252,4126,149,127,103
KNGUT0030,CW,1960,1886,3335,1594,930,1051
KNGUT0031,CCW,2267,2309,4130,1502,975,1173
KNGUT0031,CW,2026,1981,3680,2142,1187,1756
KNGUT0032,CCW,1427,1323,2680,270,164,175
KNGUT0032,CW,1760,1831,3370,2071,1357,1367
KNGUT0033B,CCW,0,0,0,0,1,0
KNGUT0033B,CW,3035,3117,5831,1997,1198,1433
KNGUT0033C,CCW,26,23,21,0,0,0
KNGUT0033,CCW,1759,1824,3398,1900,1128,1531
KNGUT0033C,CW,2347,2302,4248,622,444,414
KNGUT0033,CW,391,501,629,1572,995,1392
KNGUT0035,CCW,2480,2498,4514,29,19,33
