Element	DNA1	DNA2	DNA3	Input	RNA1	RNA2	RNA3
KUUAE0073_KUUUT0043	0	0	0	0	0	0	0
KUUAE0073_KUUUT0044	0	0	0	0	0	0	0
KUUAE0073_KSUAT0074	0	0	0	0	0	0	0
KUUAE0073_KSUAT0093	0	0	0	0	0	0	0
KUUAE0073_KSUUT0094	0	1	0	0	0	0	0
KUUAE0073_KUUAE0038	0	0	0	0	0	0	0
KUUAE0073_KUUAE0073	5083	7699	9303	3187	1285	797	1614
KUUAE0073_KUUAT0005	0	0	0	0	0	0	0
KUUAE0073_KUUAT0069	0	1	0	0	0	0	0
KUUAE0073_KUUAT0138	0	1	0	0	0	0	0
KUUAE0073_KUUUT0016	0	0	0	0	0	0	0
KUUAE0073_KUUUT0050	0	0	0	0	0	0	0
KUUAE0073_KUUAE0046	0	0	0	0	0	0	0
KUUAE0073_KUUAE0093	0	1	0	0	0	0	0
KUUAE0073_KUUAE0122	0	8	0	0	0	0	0
KUUAE0073_KUUAE0127	0	1	0	0	0	0	0
KUUAE0073_KUUAT0006	0	0	0	0	0	0	0
KUUAE0073_KUUAT0010	0	0	0	0	0	0	0
KUUAE0073_KUUAT0023	0	0	0	0	0	0	0
KUUAE0073_KUUAT0119	4736	2627	2350	6337	91	208	164
KUUAE0073_KUUAT0123	0	0	0	0	0	0	0
KUUAE0073_KUUUT0013	1	0	0	0	0	0	0
KUUAT0005_KSUUT0003	0	0	0	0	0	0	0
KUUAT0005_KSUUT0008	0	0	0	0	0	0	0
KUUAT0005_KSUUT0025	0	0	0	0	0	0	0
KUUAT0005_KSUUT0100	0	0	0	0	0	0	0
KUUAT0005_KSUUT0114	0	0	0	0	0	0	0
KUUAT0005_KSUUT0124	0	2	0	0	0	0	0
KUUAT0005_KUUAE0003	0	0	0	0	0	0	0
KUUAT0005_KUUAE0004	0	0	0	0	0	0	0
KUUAT0005_KUUAE0005	0	0	0	0	0	0	0
KUUAT0005_KUUAE0010	0	0	0	0	0	0	0
KUUAT0005_KUUAE0017	0	1	0	0	0	0	0
KUUAT0005_KUUAE0024	0	0	0	0	0	0	0
KUUAT0005_KUUAE0034	0	0	0	0	0	0	0
KUUAT0005_KUUAE0051	0	0	0	0	0	0	0
KUUAT0005_KUUAE0071	0	0	0	0	0	0	0
KUUAT0005_KUUAE0100	0	0	0	0	0	1	0
KUUAT0005_KUUAE0102	0	0	0	0	0	0	0
KUUAT0005_KUUAE0106	0	0	0	0	0	0	0
KUUAT0005_KUUAE0129	0	0	0	0	0	0	0
KUUAT0005_KUUAE0147	0	0	0	0	0	0	0
KUUAT0005_KUUAT0104	0	0	0	0	0	0	0
KUUAT0005_KUUUT0012	0	0	0	0	0	0	0
KUUAT0005_KUUUT0015	0	0	0	0	0	0	0
KUUAT0005_KUUUT0020	0	0	0	0	0	0	0
KUUAT0005_KUUUT0021	0	0	0	0	0	0	0
KUUAT0005_KUUUT0023	0	0	0	0	0	0	0
KUUAT0005_KUUUT0043	0	0	0	0	0	0	0
KUUAT0005_KUUUT0044	0	0	0	1	0	0	0
KUUAT0005_KSUAT0074	0	0	0	0	0	0	0
KUUAT0005_KSUAT0093	0	0	0	0	0	0	0
KUUAT0005_KSUUT0094	0	0	0	0	0	0	0
KUUAT0005_KUUAE0038	0	0	0	0	0	0	0
KUUAT0005_KUUAE0073	0	0	0	0	0	0	0
KUUAT0005_KUUAT0005	2365	2726	4380	1668	461	312	761
KUUAT0005_KUUAT0069	0	1	0	0	0	0	0
KUUAT0005_KUUAT0138	0	0	0	0	0	0	0
KUUAT0005_KUUUT0016	0	0	0	0	0	0	0
KUUAT0005_KUUUT0050	0	0	0	0	0	0	0
KUUAT0005_KUUAE0046	0	0	0	0	0	0	0
KUUAT0005_KUUAE0093	0	0	0	0	0	0	0
KUUAT0005_KUUAE0122	0	0	0	0	0	0	0
KUUAT0005_KUUAE0127	2170	1119	677	2692	20	51	21
KUUAT0005_KUUAT0006	0	0	0	0	0	0	0
KUUAT0005_KUUAT0010	0	0	0	0	0	0	0
KUUAT0005_KUUAT0023	0	0	0	0	0	0	0
KUUAT0005_KUUAT0119	0	0	0	0	0	0	0
KUUAT0005_KUUAT0123	0	0	0	0	0	0	0
KUUAT0005_KUUUT0013	0	0	0	0	0	0	0
KUUAT0069_KSUUT0003	0	0	0	0	0	1	0
KUUAT0069_KSUUT0008	0	0	0	0	0	0	0
KUUAT0069_KSUUT0025	0	0	0	0	0	0	0
KUUAT0069_KSUUT0100	0	1	0	0	0	1	0
KUUAT0069_KSUUT0114	0	1	0	0	0	1	0
KUUAT0069_KSUUT0124	0	4	0	0	0	1	0
KUUAT0069_KUUAE0003	0	0	0	0	0	0	0
KUUAT0069_KUUAE0004	0	0	0	0	0	0	0
KUUAT0069_KUUAE0005	0	0	0	0	0	0	0
KUUAT0069_KUUAE0010	0	1	0	0	0	0	0
KUUAT0069_KUUAE0017	0	1	0	0	0	1	0
KUUAT0069_KUUAE0024	0	1	0	0	0	1	0
KUUAT0069_KUUAE0034	0	0	0	0	0	0	0
KUUAT0069_KUUAE0051	0	0	0	0	0	0	0
KUUAT0069_KUUAE0071	0	1	0	0	0	3	1
KUUAT0069_KUUAE0100	3671	2554	3929	4601	1040	972	1367
KUUAT0069_KUUAE0102	0	0	0	0	0	0	1
KUUAT0069_KUUAE0106	0	0	0	0	0	0	0
KUUAT0069_KUUAE0129	0	0	0	0	0	0	0
KUUAT0069_KUUAE0147	0	0	0	0	0	1	0
KUUAT0069_KUUAT0104	0	1	0	0	0	1	0
KUUAT0069_KUUUT0012	0	0	0	1	0	0	0
KUUAT0069_KUUUT0015	0	1	0	0	0	2	0
KUUAT0069_KUUUT0020	0	1	0	0	0	0	0
KUUAT0069_KUUUT0021	0	0	0	0	0	0	0
KUUAT0069_KUUUT0023	0	1	0	0	0	2	0
KUUAT0069_KUUUT0043	0	2	0	0	0	0	0
KUUAT0069_KUUUT0044	0	2	0	0	0	1	0
KUUAT0069_KSUAT0074	0	1	0	0	0	0	0
KUUAT0069_KSUAT0093	0	4	0	0	0	0	0
KUUAT0069_KSUUT0094	0	0	0	0	0	0	0
KUUAT0069_KUUAE0038	0	0	0	0	0	0	0
KUUAT0069_KUUAE0073	0	1	0	0	0	0	0
KUUAT0069_KUUAT0005	0	0	0	0	0	0	0
KUUAT0069_KUUAT0069	7596	10816	13657	5255	1847	1159	2544
KUUAT0069_KUUAT0138	0	0	0	0	0	1	0
KUUAT0069_KUUUT0016	0	5	1	0	0	0	0
KUUAT0069_KUUUT0050	0	0	0	0	0	0	0
KUUAT0069_KUUAE0046	6879	4287	4702	8595	1156	1562	1530
KUUAT0069_KUUAE0093	0	0	0	0	0	0	0
KUUAT0069_KUUAE0122	0	2	0	0	0	0	0
KUUAT0069_KUUAE0127	0	1	0	0	0	0	0
KUUAT0069_KUUAT0006	0	0	0	1	0	0	0
KUUAT0069_KUUAT0010	0	0	0	0	0	0	0
KUUAT0069_KUUAT0023	0	1	0	1	0	0	0
KUUAT0069_KUUAT0119	0	0	0	0	0	1	0
KUUAT0069_KUUAT0123	0	0	0	0	0	0	0
KUUAT0069_KUUUT0013	0	0	0	0	0	0	0
KUUAT0138_KSUUT0003	0	0	0	0	0	3	0
KUUAT0138_KSUUT0008	0	0	0	0	0	0	0
KUUAT0138_KSUUT0025	0	0	0	0	0	0	0
KUUAT0138_KSUUT0100	0	5	0	0	0	0	0
KUUAT0138_KSUUT0114	0	2	0	1	0	0	0
KUUAT0138_KSUUT0124	0	1	0	0	0	1	0
KUUAT0138_KUUAE0003	0	0	0	0	0	0	0
KUUAT0138_KUUAE0004	0	0	0	0	0	0	0
KUUAT0138_KUUAE0005	3821	2528	3147	4321	1209	1526	1783
KUUAT0138_KUUAE0010	0	1	0	0	0	0	0
KUUAT0138_KUUAE0017	0	5	0	0	0	0	0
KUUAT0138_KUUAE0024	0	3	0	0	0	1	0
KUUAT0138_KUUAE0034	0	0	0	0	0	0	0
KUUAT0138_KUUAE0051	0	1	0	0	0	0	0
KUUAT0138_KUUAE0071	0	8	0	0	0	1	0
KUUAT0138_KUUAE0100	0	0	0	0	0	0	0
KUUAT0138_KUUAE0102	0	1	0	0	0	1	0
KUUAT0138_KUUAE0106	0	4	0	0	0	0	0
KUUAT0138_KUUAE0129	0	9	0	0	0	6	0
KUUAT0138_KUUAE0147	1	1	0	0	0	0	0
KUUAT0138_KUUAT0104	0	0	0	0	0	0	0
KUUAT0138_KUUUT0012	0	1	0	0	0	0	0
KUUAT0138_KUUUT0015	0	3	0	0	0	1	0
KUUAT0138_KUUUT0020	0	0	0	0	0	1	0
KUUAT0138_KUUUT0021	0	0	0	0	0	2	0
KUUAT0138_KUUUT0023	0	3	0	0	0	1	0
KUUAT0138_KUUUT0043	0	0	0	0	0	1	0
KUUAT0138_KUUUT0044	0	2	0	0	0	0	0
KUUAT0138_KSUAT0074	0	0	0	0	0	0	0
KUUAT0138_KSUAT0093	10544	6993	8355	12107	1579	2186	2394
KUUAT0138_KSUUT0094	0	0	0	0	0	0	0
KUUAT0138_KUUAE0038	0	0	0	0	0	0	0
KUUAT0138_KUUAE0073	0	0	0	0	0	0	0
KUUAT0138_KUUAT0005	0	0	0	0	0	0	0
KUUAT0138_KUUAT0069	0	1	0	0	0	0	0
KUUAT0138_KUUAT0138	5949	9297	10858	3154	1595	1201	1799
KUUAT0138_KUUUT0016	0	0	0	0	0	0	0
KUUAT0138_KUUUT0050	0	0	0	0	0	0	0
KUUAT0138_KUUAE0046	0	0	1	0	0	0	0
KUUAT0138_KUUAE0093	0	1	0	0	0	0	0
KUUAT0138_KUUAE0122	0	2	0	0	0	0	0
KUUAT0138_KUUAE0127	0	0	0	0	0	0	0
KUUAT0138_KUUAT0006	0	0	0	1	0	1	0
KUUAT0138_KUUAT0010	0	0	0	0	0	0	0
KUUAT0138_KUUAT0023	0	1	0	0	0	0	0
KUUAT0138_KUUAT0119	0	0	0	0	0	0	0
KUUAT0138_KUUAT0123	0	0	0	0	0	0	0
KUUAT0138_KUUUT0013	0	0	0	0	0	0	0
KUUUT0016_KSUUT0003	0	4	0	0	0	3	1
KUUUT0016_KSUUT0008	0	0	0	0	0	0	0
KUUUT0016_KSUUT0025	1586	867	120	2001	54	847	78
KUUUT0016_KSUUT0100	0	15	0	3	0	15	0
KUUUT0016_KSUUT0114	0	1	0	2	0	5	0
KUUUT0016_KSUUT0124	0	28	3	2	0	5	0
KUUUT0016_KUUAE0003	0	0	0	0	0	1	0
KUUUT0016_KUUAE0004	0	0	0	0	0	0	0
KUUUT0016_KUUAE0005	20836	12691	4440	24761	1551	7111	2300
KUUUT0016_KUUAE0010	10855	7102	6491	13214	3464	5846	4875
KUUUT0016_KUUAE0017	1	45	1	2	2	24	1
KUUUT0016_KUUAE0024	0	9	0	2	2	14	0
KUUUT0016_KUUAE0034	0	3	0	0	0	4	0
KUUUT0016_KUUAE0051	0	1	0	0	0	0	0
KUUUT0016_KUUAE0071	0	10	0	0	0	7	1
KUUUT0016_KUUAE0100	0	1	1	0	0	3	0
KUUUT0016_KUUAE0102	1	9	0	1	0	3	0
KUUUT0016_KUUAE0106	0	10	0	0	0	11	0
KUUUT0016_KUUAE0129	0	38	0	2	0	33	1
KUUUT0016_KUUAE0147	0	9	0	0	0	5	0
KUUUT0016_KUUAT0104	1	2	0	5	0	3	0
KUUUT0016_KUUUT0012	0	11	1	1	0	10	0
KUUUT0016_KUUUT0015	1	21	1	3	0	8	0
KUUUT0016_KUUUT0020	0	1	0	1	0	5	0
KUUUT0016_KUUUT0021	1	1	0	1	1	4	0
KUUUT0016_KUUUT0023	10213	6746	3843	12122	1246	3737	1758
KUUUT0016_KUUUT0043	0	1	0	0	0	9	1
KUUUT0016_KUUUT0044	0	6	0	1	0	5	0
KUUUT0016_KSUAT0074	0	0	0	0	0	1	0
KUUUT0016_KSUAT0093	0	3	0	0	0	3	0
KUUUT0016_KSUUT0094	6345	3666	1637	7756	1364	5293	2017
KUUUT0016_KUUAE0038	0	0	0	0	0	0	0
KUUUT0016_KUUAE0073	2031	1340	1089	2463	228	500	355
KUUUT0016_KUUAT0005	0	0	0	0	0	0	0
KUUUT0016_KUUAT0069	0	5	1	0	0	2	0
KUUUT0016_KUUAT0138	2	0	0	0	0	2	0
KUUUT0016_KUUUT0016	6012	10654	10266	3876	1288	1364	1922
KUUUT0016_KUUUT0050	0	0	0	0	0	0	0
KUUUT0016_KUUAE0046	0	1	0	1	0	3	0
KUUUT0016_KUUAE0093	4490	2923	2200	5496	536	1142	741
KUUUT0016_KUUAE0122	1	9	0	1	0	1	0
KUUUT0016_KUUAE0127	0	3	0	1	0	0	0
KUUUT0016_KUUAT0006	0	3	0	1	0	0	0
KUUUT0016_KUUAT0010	0	0	0	0	0	1	0
KUUUT0016_KUUAT0023	12868	7224	2481	14664	376	1679	551
KUUUT0016_KUUAT0119	1747	894	119	2179	13	292	23
KUUUT0016_KUUAT0123	0	0	0	0	0	0	0
KUUUT0016_KUUUT0013	3727	1761	693	5789	174	762	215
KUUUT0050_KSUUT0003	0	0	0	0	0	0	0
KUUUT0050_KSUUT0008	0	0	0	0	0	0	0
KUUUT0050_KSUUT0025	0	0	0	0	0	0	0
KUUUT0050_KSUUT0100	0	0	0	0	0	0	0
KUUUT0050_KSUUT0114	0	0	0	0	0	0	0
KUUUT0050_KSUUT0124	0	0	0	0	0	0	0
KUUUT0050_KUUAE0003	0	1	0	0	0	0	0
KUUUT0050_KUUAE0004	0	0	0	0	0	0	0
KUUUT0050_KUUAE0005	0	0	0	0	0	0	0
KUUUT0050_KUUAE0010	0	0	0	0	0	0	0
KUUUT0050_KUUAE0017	279	181	232	345	79	172	170
KUUUT0050_KUUAE0024	0	0	0	0	0	0	0
KUUUT0050_KUUAE0034	0	0	0	0	0	0	0
KUUUT0050_KUUAE0051	0	0	0	0	0	0	0
KUUUT0050_KUUAE0071	0	0	0	0	0	0	0
KUUUT0050_KUUAE0100	0	0	0	1	0	0	0
KUUUT0050_KUUAE0102	0	0	0	0	0	0	0
KUUUT0050_KUUAE0106	0	0	0	0	0	0	0
KUUUT0050_KUUAE0129	0	0	0	0	0	0	0
KUUUT0050_KUUAE0147	0	0	0	0	0	0	0
KUUUT0050_KUUAT0104	0	0	0	0	0	0	0
KUUUT0050_KUUUT0012	0	0	0	0	0	0	0
KUUUT0050_KUUUT0015	0	0	0	0	0	0	0
KUUUT0050_KUUUT0020	0	0	0	0	0	0	0
KUUUT0050_KUUUT0021	0	0	0	0	0	0	0
KUUUT0050_KUUUT0023	0	0	0	0	0	0	0
KUUUT0050_KUUUT0043	0	0	0	0	0	0	0
KUUUT0050_KUUUT0044	0	0	0	0	0	0	1
KUUUT0050_KSUAT0074	0	0	0	0	0	0	0
KUUUT0050_KSUAT0093	0	0	0	0	0	0	0
KUUUT0050_KSUUT0094	0	0	0	0	0	0	0
KUUUT0050_KUUAE0038	0	0	0	0	0	0	0
KUUUT0050_KUUAE0073	0	0	0	0	0	0	0
KUUUT0050_KUUAT0005	0	0	0	0	0	0	0
KUUUT0050_KUUAT0069	0	1	0	0	0	0	0
KUUUT0050_KUUAT0138	0	0	0	0	0	0	0
KUUUT0050_KUUUT0016	0	0	0	0	0	0	0
KUUUT0050_KUUUT0050	3728	4370	6550	2532	842	572	1099
KUUUT0050_KUUAE0046	0	0	0	0	0	0	0
KUUUT0050_KUUAE0093	0	0	0	0	1	0	0
KUUUT0050_KUUAE0122	0	0	0	0	0	0	0
KUUUT0050_KUUAE0127	0	0	0	0	0	0	0
KUUUT0050_KUUAT0006	0	0	0	0	0	0	0
KUUUT0050_KUUAT0010	0	0	0	0	0	0	0
KUUUT0050_KUUAT0023	0	0	0	0	0	0	0
KUUUT0050_KUUAT0119	0	0	0	0	0	0	0
KUUUT0050_KUUAT0123	0	0	0	0	0	0	0
KUUUT0050_KUUUT0013	0	0	0	0	0	0	0
KUUAE0046_KSUUT0003	0	0	0	0	0	0	0
KUUAE0046_KSUUT0008	0	0	0	0	0	0	0
KUUAE0046_KSUUT0025	0	0	0	0	0	0	0
KUUAE0046_KSUUT0100	0	0	0	0	0	0	0
KUUAE0046_KSUUT0114	0	2	0	0	0	0	0
KUUAE0046_KSUUT0124	0	1	0	0	0	1	0
KUUAE0046_KUUAE0003	0	0	0	0	0	0	0
KUUAE0046_KUUAE0004	0	0	0	0	0	0	0
KUUAE0046_KUUAE0005	0	11	0	0	0	1	0
KUUAE0046_KUUAE0010	0	3	1	0	0	2	0
KUUAE0046_KUUAE0017	0	2	0	0	0	1	0
KUUAE0046_KUUAE0024	0	0	0	0	0	0	0
KUUAE0046_KUUAE0034	0	0	0	0	0	0	0
KUUAE0046_KUUAE0051	0	0	0	0	0	0	0
KUUAE0046_KUUAE0071	0	0	0	0	0	0	0
KUUAE0046_KUUAE0100	0	0	0	0	0	0	0
KUUAE0046_KUUAE0102	0	0	0	0	0	0	0
KUUAE0046_KUUAE0106	0	0	0	0	0	0	0
KUUAE0046_KUUAE0129	0	0	0	0	0	0	0
KUUAE0046_KUUAE0147	0	0	0	0	0	0	0
KUUAE0046_KUUAT0104	0	0	0	0	0	0	0
KUUAE0046_KUUUT0012	0	1	0	0	0	1	0
KUUAE0046_KUUUT0015	0	1	0	0	0	0	0
KUUAE0046_KUUUT0020	0	0	0	0	0	1	0
KUUAE0046_KUUUT0021	0	0	0	0	0	0	0
KUUAE0046_KUUUT0023	1	10	0	1	0	0	0
KUUAE0046_KUUUT0043	0	0	0	0	0	0	0
KUUAE0046_KUUUT0044	0	1	0	0	0	0	0
KUUAE0046_KSUAT0074	0	0	0	0	0	0	0
KUUAE0046_KSUAT0093	0	1	0	0	0	0	0
KUUAE0046_KSUUT0094	0	2	0	0	0	1	0
KUUAE0046_KUUAE0038	0	0	0	0	0	0	0
KUUAE0046_KUUAE0073	0	3	0	0	0	1	0
KUUAE0046_KUUAT0005	0	0	0	0	0	0	0
KUUAE0046_KUUAT0069	0	0	0	0	0	0	0
KUUAE0046_KUUAT0138	0	0	0	0	0	0	0
KUUAE0046_KUUUT0016	5190	2752	1629	6034	224	799	366
KUUAE0046_KUUUT0050	0	0	0	0	0	0	0
KUUAE0046_KUUAE0046	7397	10696	12975	5029	457	345	806
KUUAE0046_KUUAE0093	6	4	9	7	1	1	1
KUUAE0046_KUUAE0122	0	0	0	0	0	0	0
KUUAE0046_KUUAE0127	0	1	0	0	0	0	0
KUUAE0046_KUUAT0006	1	1	0	0	0	0	0
KUUAE0046_KUUAT0010	0	0	0	0	0	0	0
KUUAE0046_KUUAT0023	0	7	0	0	0	0	0
KUUAE0046_KUUAT0119	0	1	0	1	0	0	0
KUUAE0046_KUUAT0123	0	0	0	0	0	0	0
KUUAE0046_KUUUT0013	300	135	142	422	25	58	39
KUUAE0093_KSUUT0003	0	7	1	0	0	5	0
KUUAE0093_KSUUT0008	0	0	0	0	0	0	0
KUUAE0093_KSUUT0025	2	3	0	0	0	1	0
KUUAE0093_KSUUT0100	0	1	1	0	0	6	0
KUUAE0093_KSUUT0114	0	2	0	1	0	1	0
KUUAE0093_KSUUT0124	0	6	0	0	0	0	0
KUUAE0093_KUUAE0003	0	27	0	0	0	11	0
KUUAE0093_KUUAE0004	0	0	0	0	0	0	0
KUUAE0093_KUUAE0005	2407	1652	2234	3009	719	789	1014
KUUAE0093_KUUAE0010	0	0	0	0	0	1	0
KUUAE0093_KUUAE0017	20228	16219	25199	21340	11100	8963	14431
KUUAE0093_KUUAE0024	1	2	0	1	0	0	0
KUUAE0093_KUUAE0034	0	0	0	1	0	7	1
KUUAE0093_KUUAE0051	0	5	0	0	0	0	0
KUUAE0093_KUUAE0071	0	15	2	1	0	12	1
KUUAE0093_KUUAE0100	0	1	0	0	0	2	0
KUUAE0093_KUUAE0102	0	2	0	1	0	1	0
KUUAE0093_KUUAE0106	0	5	0	0	0	0	0
KUUAE0093_KUUAE0129	0	8	0	0	0	3	1
KUUAE0093_KUUAE0147	12834	10147	17513	16235	15918	12499	18432
KUUAE0093_KUUAT0104	0	0	0	1	0	1	0
KUUAE0093_KUUUT0012	72	44	76	70	24	18	28
KUUAE0093_KUUUT0015	1	12	1	0	0	14	0
KUUAE0093_KUUUT0020	0	1	0	0	0	6	0
KUUAE0093_KUUUT0021	0	1	1	0	1	11	0
KUUAE0093_KUUUT0023	11666	9158	13218	14382	2768	2612	3926
KUUAE0093_KUUUT0043	0	8	0	1	0	27	0
KUUAE0093_KUUUT0044	1	41	1	0	1	40	0
KUUAE0093_KSUAT0074	0	10	0	0	1	7	0
KUUAE0093_KSUAT0093	10764	7604	8191	12989	884	1149	1195
KUUAE0093_KSUUT0094	0	0	2	0	0	2	0
KUUAE0093_KUUAE0038	0	0	0	0	0	0	0
KUUAE0093_KUUAE0073	0	1	0	0	0	1	0
KUUAE0093_KUUAT0005	0	1	0	0	0	0	0
KUUAE0093_KUUAT0069	0	0	1	0	0	0	0
KUUAE0093_KUUAT0138	0	1	0	0	0	0	0
KUUAE0093_KUUUT0016	0	2	1	0	0	0	0
KUUAE0093_KUUUT0050	0	0	0	0	0	0	0
KUUAE0093_KUUAE0046	0	2	0	0	0	5	0
KUUAE0093_KUUAE0093	3181	5320	5686	1626	179	165	206
KUUAE0093_KUUAE0122	0	6	0	1	0	0	0
KUUAE0093_KUUAE0127	1	3	0	0	0	1	0
KUUAE0093_KUUAT0006	0	5	0	0	0	5	0
KUUAE0093_KUUAT0010	0	0	0	0	0	0	0
KUUAE0093_KUUAT0023	0	1	0	0	0	0	0
KUUAE0093_KUUAT0119	0	1	0	0	0	0	0
KUUAE0093_KUUAT0123	0	0	1	0	0	0	0
KUUAE0093_KUUUT0013	0	0	0	0	0	0	0
KUUAE0122_KSUUT0003	0	0	0	0	0	1	0
KUUAE0122_KSUUT0008	0	0	0	0	0	0	0
KUUAE0122_KSUUT0025	15853	8322	4355	19561	1998	7628	3134
KUUAE0122_KSUUT0100	13214	8603	13079	17939	3629	3802	4820
KUUAE0122_KSUUT0114	0	1	0	0	0	1	0
KUUAE0122_KSUUT0124	0	4	1	1	0	3	0
KUUAE0122_KUUAE0003	0	11	0	0	0	0	0
KUUAE0122_KUUAE0004	0	1	0	0	0	1	0
KUUAE0122_KUUAE0005	0	2	0	0	1	4	0
KUUAE0122_KUUAE0010	0	7	1	0	0	4	0
KUUAE0122_KUUAE0017	1	9	1	0	0	6	0
KUUAE0122_KUUAE0024	0	1	0	0	0	3	0
KUUAE0122_KUUAE0034	1	3	0	0	0	2	0
KUUAE0122_KUUAE0051	0	1	0	0	0	0	0
KUUAE0122_KUUAE0071	0	0	0	1	0	4	0
KUUAE0122_KUUAE0100	0	1	0	0	0	2	0
KUUAE0122_KUUAE0102	0	1	0	0	0	1	0
KUUAE0122_KUUAE0106	0	1	0	0	0	1	0
KUUAE0122_KUUAE0129	0	13	0	0	1	20	0
KUUAE0122_KUUAE0147	0	0	0	0	0	0	0
KUUAE0122_KUUAT0104	0	0	0	0	0	1	0
KUUAE0122_KUUUT0012	1	4	0	0	0	5	0
KUUAE0122_KUUUT0015	0	9	0	1	0	8	0
KUUAE0122_KUUUT0020	0	3	0	1	0	10	1
KUUAE0122_KUUUT0021	520	443	700	934	1427	1082	1313
KUUAE0122_KUUUT0023	0	8	0	2	0	4	0
KUUAE0122_KUUUT0043	1	1	0	0	0	2	0
KUUAE0122_KUUUT0044	0	2	0	1	0	3	1
KUUAE0122_KSUAT0074	0	0	0	0	0	1	0
KUUAE0122_KSUAT0093	0	12	0	1	0	11	0
KUUAE0122_KSUUT0094	0	4	0	0	0	5	0
KUUAE0122_KUUAE0038	0	0	0	0	0	0	0
KUUAE0122_KUUAE0073	0	1	0	0	0	0	0
KUUAE0122_KUUAT0005	0	0	0	0	0	0	0
KUUAE0122_KUUAT0069	0	3	0	0	0	1	0
KUUAE0122_KUUAT0138	0	0	0	0	0	0	0
KUUAE0122_KUUUT0016	0	0	0	1	0	3	0
KUUAE0122_KUUUT0050	0	1	0	0	0	0	0
KUUAE0122_KUUAE0046	0	1	0	1	0	1	0
KUUAE0122_KUUAE0093	0	0	0	0	0	0	0
KUUAE0122_KUUAE0122	8434	16262	14751	4960	865	736	933
KUUAE0122_KUUAE0127	0	1	0	0	0	0	0
KUUAE0122_KUUAT0006	0	2	0	0	0	1	0
KUUAE0122_KUUAT0010	0	0	0	0	0	0	0
KUUAE0122_KUUAT0023	261	145	150	301	13	17	17
KUUAE0122_KUUAT0119	5231	2746	1265	6933	20	89	38
KUUAE0122_KUUAT0123	0	0	0	0	0	0	0
KUUAE0122_KUUUT0013	0	1	0	0	0	0	0
KUUAE0127_KSUUT0003	0	0	0	0	0	0	0
KUUAE0127_KSUUT0008	0	0	0	0	0	0	0
KUUAE0127_KSUUT0025	0	0	0	0	0	0	0
KUUAE0127_KSUUT0100	0	0	0	0	0	0	0
KUUAE0127_KSUUT0114	0	1	0	0	0	0	0
KUUAE0127_KSUUT0124	10670	6261	6153	13965	72	110	127
KUUAE0127_KUUAE0003	0	0	0	0	0	0	0
KUUAE0127_KUUAE0004	0	0	0	0	0	0	0
KUUAE0127_KUUAE0005	0	3	0	0	0	0	0
KUUAE0127_KUUAE0010	0	1	0	0	0	0	0
KUUAE0127_KUUAE0017	0	1	0	0	0	2	0
KUUAE0127_KUUAE0024	0	2	0	0	0	0	0
KUUAE0127_KUUAE0034	0	0	0	0	0	0	0
KUUAE0127_KUUAE0051	0	0	0	0	0	0	0
KUUAE0127_KUUAE0071	1442	756	382	1702	51	201	84
KUUAE0127_KUUAE0100	0	1	0	0	0	0	0
KUUAE0127_KUUAE0102	0	2	0	0	0	0	0
KUUAE0127_KUUAE0106	0	0	0	0	0	0	0
KUUAE0127_KUUAE0129	0	1	0	0	0	0	0
KUUAE0127_KUUAE0147	0	1	0	0	0	0	0
KUUAE0127_KUUAT0104	0	2	0	0	0	0	0
KUUAE0127_KUUUT0012	0	0	0	0	0	0	0
KUUAE0127_KUUUT0015	0	3	0	0	0	0	0
KUUAE0127_KUUUT0020	0	0	0	0	0	0	0
KUUAE0127_KUUUT0021	0	0	0	0	0	1	0
KUUAE0127_KUUUT0023	0	7	1	0	0	0	0
KUUAE0127_KUUUT0043	0	0	0	1	0	0	0
KUUAE0127_KUUUT0044	0	4	0	1	0	1	0
KUUAE0127_KSUAT0074	0	0	0	0	0	0	0
KUUAE0127_KSUAT0093	0	3	0	0	0	0	0
KUUAE0127_KSUUT0094	0	2	0	0	0	0	0
KUUAE0127_KUUAE0038	0	0	0	0	0	0	0
KUUAE0127_KUUAE0073	0	0	1	1	0	0	0
KUUAE0127_KUUAT0005	0	0	0	0	0	0	0
KUUAE0127_KUUAT0069	0	0	0	0	0	0	0
KUUAE0127_KUUAT0138	0	1	0	0	0	0	0
KUUAE0127_KUUUT0016	284	139	38	361	1	13	4
KUUAE0127_KUUUT0050	0	0	0	0	0	0	0
KUUAE0127_KUUAE0046	0	0	0	0	0	0	0
KUUAE0127_KUUAE0093	0	0	0	0	0	0	0
KUUAE0127_KUUAE0122	0	6	0	0	0	0	0
KUUAE0127_KUUAE0127	5811	7620	9995	4041	447	267	593
KUUAE0127_KUUAT0006	0	19	1	1	0	0	0
KUUAE0127_KUUAT0010	0	0	0	0	0	0	0
KUUAE0127_KUUAT0023	0	0	0	0	0	0	0
KUUAE0127_KUUAT0119	0	0	0	0	0	0	0
KUUAE0127_KUUAT0123	0	1	0	0	0	0	0
KUUAE0127_KUUUT0013	1	0	0	0	0	0	0
KUUAT0006_KSUUT0003	0	0	0	0	0	0	0
KUUAT0006_KSUUT0008	0	0	0	0	0	0	0
KUUAT0006_KSUUT0025	0	4	0	0	0	1	0
KUUAT0006_KSUUT0100	0	10	0	0	0	0	0
